company,website,contact_email,location,audit_summary,audit_top_issue,source_date
OldTown Furniture,https://oldtownfurnitures.com,OldTown@sonic.net,"Santa Rosa, CA","2 SEO issues found, most notably: images missing alt text (31 of 37 img tags have no alt attribute). Also: meta description too long.",Images missing alt text (MEDIUM): 31 of 37 <img> tags have no (or empty) alt attribute. Add descriptive alt text to every product/content image for accessibility and image search.,2026-09-14
Ohio Furniture Mart,https://ohiofurnituremart.com,service@ohiofurnituremart.com,"Alliance, OH","2 SEO issues found, most notably: multiple H1 headings (2 h1 tags on the page). Also: images missing alt text.","Multiple H1 headings (MEDIUM): 2 <h1> tags found: [""Labor Day Sales Event!"",""Flexible Financing Options""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
Payless Furniture,https://paylessfurnitureohio.com,paylessohio@gmail.com,"Columbus, OH","3 SEO issues found, most notably: multiple H1 headings. Also: meta description too long, images missing alt text.","Multiple H1 headings (MEDIUM): 2 <h1> tags found: [""Payless Furniture (Columbus,OH)"",""Payless Furniture""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
LaChance Furniture (LaChance Interiors),https://lachancefurniture.com,sales@lachancefurniture.com,"Gardner, MA","3 SEO issues found, most notably: missing meta description (no meta description tag at all). Also: multiple H1 headings, images missing alt text.","Missing meta description (HIGH): No <meta name=""description""> tag found. Add a 140-160 character description summarizing the page and including a call to action.",2026-09-14
Town & Country Furniture & Appliances,https://tcfurn.com,marketing@tcfurn.com,"Blue Ridge, GA","6 SEO issues found, most notably: multiple H1 headings. Also: title tag too long, no structured data (schema.org) detected.","Multiple H1 headings (MEDIUM): 3 <h1> tags found: [""Kitchen Appliances"",""Laundry Appliances"",""Real Reviews From Real Customers""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
Woodrich West,https://woodrichwest.com,info@woodrichwest.com,"Bozeman, MT","2 SEO issues found, most notably: images missing alt text (3 of 8 img tags). Also: title tag too long.",Images missing alt text (MEDIUM): 3 of 8 <img> tags have no (or empty) alt attribute. Add descriptive alt text to every product/content image for accessibility and image search.,2026-09-14
Furniture and Things,https://furnitureandthings.com,sales@furnitureandthings.com,"Elk River, MN","2 SEO issues found, most notably: images missing alt text (6 of 82 img tags). Also: title tag too long.",Images missing alt text (MEDIUM): 6 of 82 <img> tags have no (or empty) alt attribute. Add descriptive alt text to every product/content image for accessibility and image search.,2026-09-14
New England Furniture,https://newenglandfurniture.net,nefurniturenh@gmail.com,"Farmington, NH","5 SEO issues found, most notably: no H1 heading found (zero h1 tags on the page). Also: title tag too long, no structured data detected.",No H1 heading found (HIGH): Zero <h1> tags on the page. Add exactly one H1 that includes the primary keyword.,2026-09-14
Gardner Outlet Furniture,https://gardneroutletfurniture.com,sales@gardneroutletfurniture.com,"Gardner, MA","2 SEO issues found, most notably: images missing alt text (3 of 43 img tags). Also: title tag too long.",Images missing alt text (MEDIUM): 3 of 43 <img> tags have no (or empty) alt attribute. Add descriptive alt text to every product/content image for accessibility and image search.,2026-09-14
Family Home Furniture,https://myfamilyhomefurniture.com,info@myfamilyhomefurniture.com,"Millbrook, AL","5 SEO issues found, most notably: H1 doesn't reinforce the title's target keyword. Also: meta description too long, images missing alt text, no structured data detected.","H1 doesn't reinforce the title's target keyword (MEDIUM): H1: ""Financing & Leasing Options Available"" | Title: ""Family Home Furniture - Millbrook, AL"" Rework the H1 to include the same core keyword as the title tag.",2026-09-14
West Bend Furniture & Design,https://westbendfurniture.com,info@westbendfurniture.com,"West Bend, WI","2 SEO issues found, most notably: images missing alt text (1 of 20 img tags). Also: title tag too long.",Images missing alt text (MEDIUM): 1 of 20 <img> tags have no (or empty) alt attribute. Add descriptive alt text to every product/content image for accessibility and image search.,2026-09-14
Rubin's Furniture,https://rubinsfurniture.com,info@rubinsfurniture.com,"Madison, WI","5 SEO issues found, most notably: title/meta description may be inconsistent (low keyword overlap). Also: title tag too long, no structured data detected.","Title/meta description may be inconsistent (MEDIUM): Title: ""Rubin's Furniture is here to help you with your furniture and accessory needs."" | Description: ""Family-owned since 1921, Rubin's Furniture offers premium modern and transitional furniture, complimentary interior design services, and white glove delivery throughout the Madison area."" -- low keyword overlap. Align the description with everything promised in the title (e.g. all locations/services named in the title).",2026-09-14
Yorktowne Furniture & Hake's Home Furnishings,https://hakeshomefurnishings.com,hakeshomefurnishings@gmail.com,"York, PA","5 SEO issues found, most notably: no H1 heading found. Also: title tag too long, no structured data detected.",No H1 heading found (HIGH): Zero <h1> tags on the page. Add exactly one H1 that includes the primary keyword.,2026-09-14
Chertok's Furniture and Mattress,https://chertoksfurniture.com,chertokfurniture@gmail.com,"Coatesville, PA","3 SEO issues found, most notably: multiple H1 headings. Also: meta description too long, legacy meta keywords tag present.","Multiple H1 headings (MEDIUM): 2 <h1> tags found: [""Shop By Category"",""Don't Miss these Deals & Join our Email ""] Keep a single H1 per page; demote the rest to H2.",2026-09-14
